sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.21781;5.40132;8.35098;-3.05585;5.17459;7.74957;-0.05506;-0.00122;-0.04009;-0.40928;-0.4496;-0.25045;160.0;16.44;-37.14;-103.32;44.876;-33.88;22.997;3.54;42.5867;24.788193;120.99804;;;2538.7097;70.7;81.0;4.002;11;2014-03-05 11:02:55:037
-2.45166;5.47793;7.89129;-2.65298;5.45723;7.70394;0.12607;-0.00864;0.04464;-0.02932;0.05864;-0.00489;90.0;18.66;-36.96;-102.24;30.948;-34.272;19.572;3.54;56.9655;24.788193;120.99804;;;2538.7097;70.7;81.0;4.002;511;2014-03-05 11:02:55:537
-2.60489;5.43963;7.77637;-2.61401;5.47243;7.70648;-0.11172;-0.02409;-0.02144;-0.06353;-0.08063;0.0171;90.0;18.66;-36.0;-100.86;28.25;-34.031;18.799;3.54;45.8141;24.788193;120.99804;;;2538.7097;70.7;81.0;4.002;1013;2014-03-05 11:02:56:039
-3.14119;6.20577;7.46991;-2.98613;5.81681;7.30877;-0.26747;0.39506;-0.41366;0.17715;0.21869;0.0171;160.0;19.5;-35.52;-99.6;32.41;-36.381;22.223;3.54;45.8073;24.788193;120.99804;;;2538.7097;70.7;81.0;4.002;1516;2014-03-05 11:02:56:542
1.68552;6.47392;6.39731;1.3626;6.0594;7.58929;0.33016;0.08293;-0.20687;0.6805;1.06901;0.562;225.0;14.16;-35.52;-99.72;313.378;-33.744;-6.159;3.54;51.3152;24.788193;120.99804;;;2538.7097;70.7;81.0;4.002;2019;2014-03-05 11:02:57:045
0.57461;8.54251;3.90734;0.52048;8.8857;4.11629;-0.07477;6.0E-5;0.00697;0.32865;-0.45571;-0.26634;160.0;5.7;-38.46;-100.02;346.995;-63.01;-5.964;3.54;45.7858;24.788193;120.99804;;;2538.7097;70.7;81.0;4.002;2520;2014-03-05 11:02:57:546
0.57461;8.54251;5.09486;0.32345;8.60123;4.69943;0.04619;-0.15146;0.26371;-0.3262;0.30421;0.04887;160.0;5.7;-41.7;-96.3;348.618;-64.955;-4.77;3.54;34.8788;24.788193;120.99804;;;2538.7097;70.7;81.0;4.002;3032;2014-03-05 11:02:58:058
0.15323;8.84897;3.90734;0.29186;8.91516;4.07495;-0.15133;0.07264;-0.14174;0.15272;-0.04765;-0.12217;160.0;4.98;-42.78;-93.9;348.136;-64.393;-5.347;3.54;40.735;24.788193;120.99804;;;2538.7097;70.7;81.0;4.002;3538;2014-03-05 11:02:58:564
-0.11492;8.4659;4.7501;0.06018;8.71869;4.48901;-0.37183;-0.07456;0.16176;-0.03421;-0.19548;-0.23824;160.0;5.46;-43.26;-94.2;350.755;-63.359;-3.342;3.54;24.318;24.788193;120.99804;;;2538.7097;70.7;81.0;4.002;4040;2014-03-05 11:02:59:066
0.38307;8.77236;4.02226;0.13927;8.95712;3.99012;0.10822;-0.00193;0.07972;-0.01833;0.13073;0.10873;160.0;5.76;-44.7;-93.3;352.075;-65.976;-1.999;3.54;48.6225;24.788837;120.99681;;;2538.7097;70.7;81.0;4.002;4540;2014-03-05 11:02:59:566
0.30646;8.58082;4.55856;0.31628;8.68801;4.53749;-0.12298;0.04808;-0.02287;-0.10263;0.07697;-0.00733;160.0;5.4;-43.62;-92.64;346.199;-65.146;-6.147;3.54;43.7091;24.788837;120.99681;;;2538.7097;70.7;81.0;4.002;5063;2014-03-05 11:03:00:089
0.15323;8.77236;4.36702;0.12528;8.70948;4.50552;-0.0543;0.09908;-0.14848;0.04887;-0.05253;-0.10263;160.0;5.16;-43.2;-93.54;352.794;-62.435;-1.828;3.54;39.7306;24.788837;120.99681;;;2538.7097;70.7;81.0;4.002;5564;2014-03-05 11:03:00:590
-0.30646;8.61913;4.71179;-0.18123;8.58417;4.7381;-0.14433;0.04127;-0.08169;-0.08674;0.00367;-0.05253;160.0;5.58;-44.52;-93.96;356.62;-61.985;0.802;3.54;33.1946;24.788837;120.99681;;;2538.7097;70.7;81.0;4.002;6065;2014-03-05 11:03:01:091
